City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
Rania,Haryana,"Rania, Haryana",29.52552,74.8360918,79.44000092,Exceeding
Rapar,Gujarat,"Rapar, Gujarat",23.57298,70.6447369,49.24000015,Exceeding
Rasra,Uttar Pradesh,"Rasra, Uttar Pradesh",25.85911,83.855467,100.9999985,Exceeding
Ratangarh,Rajasthan,"Ratangarh, Rajasthan",26.29825,74.2736848,61.35999985,Exceeding
Rath,Uttar Pradesh,"Rath, Uttar Pradesh",25.60213,79.5659633,77.86000061,Exceeding
Ratia,Haryana,"Ratia, Haryana",29.67691,75.5713361,83.59999847,Exceeding
Ratlam,Madhya Pradesh,"Ratlam, Madhya Pradesh",23.33151,75.0366677,49,Exceeding
Rau,Madhya Pradesh,"Rau, Madhya Pradesh",22.63994,75.8033385,50.43999939,Exceeding
Raver,Maharashtra,"Raver, Maharashtra",21.24003,76.0333885,52.25999985,Exceeding
Rawatbhata,Rajasthan,"Rawatbhata, Rajasthan",24.9306,75.5909259,47.91999969,Exceeding
Rawatsar,Rajasthan,"Rawatsar, Rajasthan",29.25656,74.4048831,68.6,Exceeding
Raxaul Bazar,Bihar,"Raxaul Bazar, Bihar",26.97977,84.8515804,83.45999908,Exceeding
Reengus,Rajasthan,"Reengus, Rajasthan",27.37662,75.5579722,67.75999985,Exceeding
Rehli,Madhya Pradesh,"Rehli, Madhya Pradesh",23.63989,79.0654949,51.45999985,Exceeding
Renukoot,Uttar Pradesh,"Renukoot, Uttar Pradesh",24.21824,83.0346073,46.43999939,Exceeding
Reoti,Uttar Pradesh,"Reoti, Uttar Pradesh",25.84661,84.3783049,95.70000153,Exceeding
Revelganj,Bihar,"Revelganj, Bihar",25.76093,84.6740642,97.03999939,Exceeding
Rewa,Madhya Pradesh,"Rewa, Madhya Pradesh",24.53625,81.3036946,67.69999924,Exceeding
Rewari,Haryana,"Rewari, Haryana",28.19197,76.6190774,94.28000031,Exceeding
Risod,Maharashtra,"Risod, Maharashtra",19.97784,76.782702,44.8,Exceeding
Robertsganj,Uttar Pradesh,"Robertsganj, Uttar Pradesh",24.685,83.0683519,52.34000015,Exceeding
Rohtak,Haryana,"Rohtak, Haryana",28.89552,76.606611,104.4,Exceeding
Rosera,Bihar,"Rosera, Bihar",25.75679,86.0274622,96.89999847,Exceeding
Rudauli,Uttar Pradesh,"Rudauli, Uttar Pradesh",26.7509,81.7513551,104.8,Exceeding
Rudrapur,Uttar Pradesh,"Rudrapur, Uttar Pradesh",26.42926,83.6103533,101.8,Exceeding
Rupnagar,Punjab,"Rupnagar, Punjab",30.9661,76.5230961,51.9,Exceeding
Sabalgarh,Madhya Pradesh,"Sabalgarh, Madhya Pradesh",26.24698,77.4070144,75.94000092,Exceeding
Sadabad,Uttar Pradesh,"Sadabad, Uttar Pradesh",27.43909,78.0338078,109.8799988,Exceeding
Sadri,Rajasthan,"Sadri, Rajasthan",25.13256,73.4533779,50.11999969,Exceeding
Sadulshahar,Rajasthan,"Sadulshahar, Rajasthan",29.90958,74.1739057,69.75999908,Exceeding
Safidon,Haryana,"Safidon, Haryana",29.40607,76.6614853,94.21999969,Exceeding
Safipur,Uttar Pradesh,"Safipur, Uttar Pradesh",26.735,80.3463754,109.3800018,Exceeding
Sagwara,Rajasthan,"Sagwara, Rajasthan",23.66571,74.0241367,51.64000015,Exceeding
Saharanpur,Uttar Pradesh,"Saharanpur, Uttar Pradesh",29.968,77.5552066,65.51999969,Exceeding
Saharsa,Bihar,"Saharsa, Bihar",25.87737,86.5927887,81.83999939,Exceeding
Sahaspur,Uttar Pradesh,"Sahaspur, Uttar Pradesh",29.1216,78.6185941,56.28000031,Exceeding
Sahaswan,Uttar Pradesh,"Sahaswan, Uttar Pradesh",28.07247,78.7561222,96.63999786,Exceeding
Sahawar,Uttar Pradesh,"Sahawar, Uttar Pradesh",27.79394,78.8311858,101.3600006,Exceeding
Sahibganj,Jharkhand,"Sahibganj, Jharkhand",25.23812,87.6453592,57.97999954,Exceeding
Sahjanwa,Uttar Pradesh,"Sahjanwa, Uttar Pradesh",26.75378,83.213527,104.3199997,Exceeding
Saidpur,Uttar Pradesh,"Saidpur, Uttar Pradesh",25.5518,83.1833851,107.7799988,Exceeding
Sailu,Maharashtra,"Sailu, Maharashtra",19.4532,76.4389549,42.98000031,Exceeding
Sainthia,West Bengal,"Sainthia, West Bengal",23.9487,87.679312,59.47999954,Exceeding
Sakti,Chhattisgarh,"Sakti, Chhattisgarh",22.02379,82.9602387,63.2,Exceeding
Salaya,Gujarat,"Salaya, Gujarat",22.31047,69.6011772,48.7,Exceeding
Salumbar,Rajasthan,"Salumbar, Rajasthan",24.13865,74.0388252,52,Exceeding
Samalkha,Haryana,"Samalkha, Haryana",29.24053,77.0117647,97.2,Exceeding
Samana,Punjab,"Samana, Punjab",30.15543,76.1957618,75.33999786,Exceeding
Samastipur,Bihar,"Samastipur, Bihar",25.85603,85.7868233,100.4199997,Exceeding
Sambalpur,Odisha,"Sambalpur, Odisha",21.46687,83.9811665,58.48000031,Exceeding
Sambhal,Uttar Pradesh,"Sambhal, Uttar Pradesh",28.59036,78.5717631,78.94000092,Exceeding
Sambhar,Rajasthan,"Sambhar, Rajasthan",26.90955,75.1859476,59.98000031,Exceeding
Samdhan,Uttar Pradesh,"Samdhan, Uttar Pradesh",27.13657,79.701762,105.7999985,Exceeding
Samthar,Uttar Pradesh,"Samthar, Uttar Pradesh",25.84216,78.9033627,83.17999878,Exceeding
Sanand,Gujarat,"Sanand, Gujarat",22.99196,72.3772986,61.10000076,Exceeding
Sanawad,Madhya Pradesh,"Sanawad, Madhya Pradesh",22.1764,76.068199,55.91999969,Exceeding
Sanchore,Rajasthan,"Sanchore, Rajasthan",24.75174,71.7762183,54.75999985,Exceeding
Sandi,Uttar Pradesh,"Sandi, Uttar Pradesh",27.2901,79.9555447,104.9599991,Exceeding
Sandila,Uttar Pradesh,"Sandila, Uttar Pradesh",27.07647,80.5179133,103.3800003,Exceeding
Sangamner,Maharashtra,"Sangamner, Maharashtra",19.57612,74.2070191,43.94000015,Exceeding
Sangaria,Rajasthan,"Sangaria, Rajasthan",29.79033,74.4630794,77.17999878,Exceeding
Sangrur,Punjab,"Sangrur, Punjab",30.2458,75.8420716,79.55999908,Exceeding
Sarangpur,Madhya Pradesh,"Sarangpur, Madhya Pradesh",23.56645,76.472256,51.63999939,Exceeding
Sardarshahar,Rajasthan,"Sardarshahar, Rajasthan",28.44042,74.493705,54.91999969,Exceeding
Sardhana,Uttar Pradesh,"Sardhana, Uttar Pradesh",29.14507,77.6163803,82.88000031,Exceeding
Sarni,Madhya Pradesh,"Sarni, Madhya Pradesh",22.11866,78.1663346,41.50000076,Exceeding
Sarsawa,Uttar Pradesh,"Sarsawa, Uttar Pradesh",30.01976,77.3984704,68.21999969,Exceeding
Sarsod,Haryana,"Sarsod, Haryana",29.321,75.8345118,87.58000031,Exceeding
Sasaram,Bihar,"Sasaram, Bihar",24.95388,84.0142866,71.75999908,Exceeding
Satna,Madhya Pradesh,"Satna, Madhya Pradesh",24.60051,80.8322428,67.29999924,Exceeding
Saunda,Jharkhand,"Saunda, Jharkhand",23.65864,85.3444725,63.28000031,Exceeding
Sausar,Madhya Pradesh,"Sausar, Madhya Pradesh",21.65198,78.7957856,47.21999969,Exceeding
Savner,Maharashtra,"Savner, Maharashtra",21.38555,78.9217522,49.71999969,Exceeding
Sehore,Madhya Pradesh,"Sehore, Madhya Pradesh",23.20324,77.0844044,50.91999969,Exceeding
Sendhwa,Madhya Pradesh,"Sendhwa, Madhya Pradesh",21.6819,75.0942651,45.52000046,Exceeding
Seohara,Uttar Pradesh,"Seohara, Uttar Pradesh",29.20126,78.5944718,55.3,Exceeding
Seoni,Madhya Pradesh,"Seoni, Madhya Pradesh",22.08687,79.5434841,47.17999954,Exceeding
SeoniMalwa,Madhya Pradesh,"SeoniMalwa, Madhya Pradesh",22.45137,77.4660335,50.30000076,Exceeding
Serampore,West Bengal,"Serampore, West Bengal",22.75052,88.3405772,66.48000031,Exceeding
"Shahabad, Hardoi",Uttar Pradesh,"Shahabad, Hardoi, Uttar Pradesh",27.64414,79.9447096,102.2,Exceeding
"Shahabad, Rampur",Uttar Pradesh,"Shahabad, Rampur, Uttar Pradesh",28.57393,78.9966888,77.08000031,Exceeding
Shahade,Maharashtra,"Shahade, Maharashtra",21.54558,74.4683333,52.22000046,Exceeding
Shahbad,Haryana,"Shahbad, Haryana",30.15571,76.8697232,68.57999878,Exceeding
Shahdol,Madhya Pradesh,"Shahdol, Madhya Pradesh",23.30023,81.3568619,43.3,Exceeding
Shahganj,Uttar Pradesh,"Shahganj, Uttar Pradesh",26.05649,82.6814829,105.4800003,Exceeding
Shahjahanpur,Uttar Pradesh,"Shahjahanpur, Uttar Pradesh",27.87534,79.9147268,99.88000031,Exceeding
Shahpura,Rajasthan,"Shahpura, Rajasthan",27.38429,75.9611437,63.80000076,Exceeding
Shahpura,Rajasthan,"Shahpura, Rajasthan",27.38429,75.9611437,63.80000076,Exceeding
Shajapur,Madhya Pradesh,"Shajapur, Madhya Pradesh",23.42729,76.2729839,51.12000046,Exceeding
Shaktigarh,Uttarakhand,"Shaktigarh, Uttarakhand",29.01287,79.646,51.61999969,Exceeding
Shamgarh,Madhya Pradesh,"Shamgarh, Madhya Pradesh",24.18832,75.6352989,56.14000015,Exceeding
Shamli,Uttar Pradesh,"Shamli, Uttar Pradesh",29.4502,77.3172046,83.00000153,Exceeding
"Shamsabad, Agra",Uttar Pradesh,"Shamsabad, Agra, Uttar Pradesh",27.01681,78.1236592,109.6000015,Exceeding
"Shamsabad, Farrukhabad",Uttar Pradesh,"Shamsabad, Farrukhabad, Uttar Pradesh",27.53634,79.4394459,103,Exceeding
Shegaon,Maharashtra,"Shegaon, Maharashtra",20.79299,76.6910458,52.71999969,Exceeding
Sheikhpura,Bihar,"Sheikhpura, Bihar",25.14169,85.8628915,83.70000153,Exceeding
Shendurjana,Maharashtra,"Shendurjana, Maharashtra",21.5284,78.2846303,48.34000015,Exceeding
Sheoganj,Rajasthan,"Sheoganj, Rajasthan",25.14182,73.0626351,53.7,Exceeding
Sheohar,Bihar,"Sheohar, Bihar",26.51459,85.2942313,94,Exceeding
Sheopur,Madhya Pradesh,"Sheopur, Madhya Pradesh",25.67282,76.6961305,62.11999969,Exceeding
Sherghati,Bihar,"Sherghati, Bihar",24.55951,84.7994271,64.75999985,Exceeding
Sherkot,Uttar Pradesh,"Sherkot, Uttar Pradesh",29.32277,78.574602,50.54000015,Exceeding
"Shikarpur, Bulandshahr",Uttar Pradesh,"Shikarpur, Bulandshahr, Uttar Pradesh",28.27976,78.0109764,97.45999908,Exceeding
Shikohabad,Uttar Pradesh,"Shikohabad, Uttar Pradesh",27.10464,78.5870112,108.4799988,Exceeding
Shirdi,Maharashtra,"Shirdi, Maharashtra",19.76454,74.4762124,43.9,Exceeding
ShirpurWarwade,Maharashtra,"ShirpurWarwade, Maharashtra",21.37054,74.8682569,52.64000092,Exceeding
Shirur,Maharashtra,"Shirur, Maharashtra",18.82498,74.3775524,44.34000015,Exceeding
Shishgarh,Uttar Pradesh,"Shishgarh, Uttar Pradesh",28.72926,79.3155716,64.66000061,Exceeding
Shivpuri,Madhya Pradesh,"Shivpuri, Madhya Pradesh",25.43205,77.6643815,53.42000046,Exceeding
Shrigonda,Maharashtra,"Shrigonda, Maharashtra",18.61754,74.6981267,43.11999969,Exceeding
Shrirampur,Maharashtra,"Shrirampur, Maharashtra",19.61948,74.6567407,44.40000076,Exceeding
Shujalpur,Madhya Pradesh,"Shujalpur, Madhya Pradesh",23.3882,76.7163359,51,Exceeding
Siana,Uttar Pradesh,"Siana, Uttar Pradesh",28.62791,78.0609138,84.53999939,Exceeding
Sidhi,Madhya Pradesh,"Sidhi, Madhya Pradesh",24.3956,81.8825279,51.87999954,Exceeding
Sidhpur,Gujarat,"Sidhpur, Gujarat",23.93086,72.3621359,53.48000107,Exceeding
Sihawa,Chhattisgarh,"Sihawa, Chhattisgarh",20.28063,81.9314417,52.55999908,Exceeding
Sihor,Gujarat,"Sihor, Gujarat",21.71974,71.9597023,43.57999954,Exceeding
Sihora,Madhya Pradesh,"Sihora, Madhya Pradesh",23.48658,80.1065646,54.44000015,Exceeding
Sikanderpur,Uttar Pradesh,"Sikanderpur, Uttar Pradesh",26.03681,84.0378894,101.8399994,Exceeding
Sikandra Rao,Uttar Pradesh,"Sikandra Rao, Uttar Pradesh",27.68641,78.378274,107.7600021,Exceeding
Sikandrabad,Uttar Pradesh,"Sikandrabad, Uttar Pradesh",28.45112,77.6954889,102.9600006,Exceeding
Sikar,Rajasthan,"Sikar, Rajasthan",27.60939,75.1397935,58.18000031,Exceeding
Silao,Bihar,"Silao, Bihar",25.08169,85.42853,83.96000061,Exceeding
Siliguri,West Bengal,"Siliguri, West Bengal",26.7271,88.3952861,60.57999954,Exceeding
Sillod,Maharashtra,"Sillod, Maharashtra",20.30794,75.6528116,45.85999985,Exceeding
Simdega,Jharkhand,"Simdega, Jharkhand",22.61511,84.4959985,53.56000137,Exceeding
Singhana,Rajasthan,"Singhana, Rajasthan",28.09841,75.8388698,62.41999893,Exceeding
Sirhind Fatehgarh Sahib,Punjab,"Sirhind Fatehgarh Sahib, Punjab",30.62451,76.3863018,69.49999847,Exceeding
Sirohi,Rajasthan,"Sirohi, Rajasthan",24.88515,72.8574558,53.23999939,Exceeding
Sironj,Madhya Pradesh,"Sironj, Madhya Pradesh",24.0993,77.6707924,50.61999969,Exceeding
Sirsa,Haryana,"Sirsa, Haryana",29.53207,75.0317734,84.9,Exceeding
Sirsaganj,Uttar Pradesh,"Sirsaganj, Uttar Pradesh",27.05526,78.6893782,112.4400009,Exceeding
Sirsi,Uttar Pradesh,"Sirsi, Uttar Pradesh",28.63954,78.6427107,76.06000214,Exceeding
Sitamarhi,Bihar,"Sitamarhi, Bihar",26.5887,85.5012971,89.41999969,Exceeding
Sitarganj,Uttarakhand,"Sitarganj, Uttarakhand",28.92355,79.7007211,52.16000061,Exceeding
Siwan,Bihar,"Siwan, Bihar",26.22432,84.3599953,102.7199997,Exceeding
Sohagpur,Madhya Pradesh,"Sohagpur, Madhya Pradesh",22.70171,78.1934911,50.45999985,Exceeding
Sohna,Haryana,"Sohna, Haryana",28.2487,77.0635117,111.9800003,Exceeding
Sojat,Rajasthan,"Sojat, Rajasthan",25.92469,73.6669099,55.42000046,Exceeding
Sonamukhi,West Bengal,"Sonamukhi, West Bengal",23.30758,87.4157938,71.32000122,Exceeding
Sonepur,Bihar,"Sonepur, Bihar",25.69429,85.1783764,98.43999939,Exceeding
Sonipat,Haryana,"Sonipat, Haryana",28.99308,77.0150735,110.6199997,Exceeding
Soro,Odisha,"Soro, Odisha",21.28149,86.6917887,45.01999893,Exceeding
Soron,Uttar Pradesh,"Soron, Uttar Pradesh",27.88663,78.7447868,101.9399994,Exceeding
South Dum Dum,West Bengal,"South Dum Dum, West Bengal",22.60893,88.3983432,61.08000107,Exceeding
Soyagaon,Maharashtra,"Soyagaon, Maharashtra",20.55282,74.512637,46.38000031,Exceeding
Sri Ganganagar,Rajasthan,"Sri Ganganagar, Rajasthan",29.90938,73.8799805,66.36000061,Exceeding
Sri Madhopur,Rajasthan,"Sri Madhopur, Rajasthan",27.47279,75.5968715,60.71999969,Exceeding
Srirampore,West Bengal,"Srirampore, West Bengal",22.75052,88.3405772,66.48000031,Exceeding
Suar,Uttar Pradesh,"Suar, Uttar Pradesh",29.02476,79.0560311,53.34000015,Exceeding
Sugauli,Bihar,"Sugauli, Bihar",26.75845,84.7420032,97.1,Exceeding
Sujangarh,Rajasthan,"Sujangarh, Rajasthan",27.70448,74.4642861,56.89999924,Exceeding
Sultan Pur Majra,Delhi,"Sultan Pur Majra, Delhi",28.69585,77.0805496,122.9600021,Exceeding
Sultanganj,Bihar,"Sultanganj, Bihar",25.24013,86.7404395,79.71999969,Exceeding
Sultanpur,Uttarakhand,"Sultanpur, Uttarakhand",29.16152,79.063577,51.61999893,Exceeding
Sumerpur,Rajasthan,"Sumerpur, Rajasthan",25.15264,73.0822804,51.14000092,Exceeding
Sumerpur,Uttar Pradesh,"Sumerpur, Uttar Pradesh",25.82639,80.1573915,91.81999817,Exceeding
Sunam,Punjab,"Sunam, Punjab",30.13056,75.8013975,82.45999908,Exceeding
Sundargarh,Odisha,"Sundargarh, Odisha",22.124,84.043175,54.68000031,Exceeding
Supaul,Bihar,"Supaul, Bihar",26.12337,86.6045134,80.93999786,Exceeding
Suratgarh,Rajasthan,"Suratgarh, Rajasthan",29.32186,73.9009228,56.29999924,Exceeding
Surendranagar Dudhrej,Gujarat,"Surendranagar Dudhrej, Gujarat",22.75232,71.6183852,45.04000015,Exceeding
Suri,West Bengal,"Suri, West Bengal",23.91293,87.5268393,56.34000092,Exceeding
SurothHindaun,Rajasthan,"SurothHindaun, Rajasthan",26.80897,77.1469666,86.40000153,Exceeding
Takhatgarh,Rajasthan,"Takhatgarh, Rajasthan",25.32397,73.005292,54.92000046,Exceeding
Taki,West Bengal,"Taki, West Bengal",22.58638,88.9078527,64.56000137,Exceeding
Talbehat,Uttar Pradesh,"Talbehat, Uttar Pradesh",25.04426,78.431061,57.23999939,Exceeding
Talegaon Dabhade,Maharashtra,"Talegaon Dabhade, Maharashtra",18.73758,73.6746626,46.92000046,Exceeding
Talode,Maharashtra,"Talode, Maharashtra",21.56281,74.2135303,49.67999878,Exceeding
Tamluk,West Bengal,"Tamluk, West Bengal",22.28581,87.9188533,56.55999985,Exceeding
Tanda,Uttar Pradesh,"Tanda, Uttar Pradesh",26.54326,82.6645469,105.0999985,Exceeding
Tarakeswar,West Bengal,"Tarakeswar, West Bengal",22.87866,88.014294,74.93999939,Exceeding
Tarana,Madhya Pradesh,"Tarana, Madhya Pradesh",23.33748,76.042092,48.52000046,Exceeding
Taranagar,Rajasthan,"Taranagar, Rajasthan",28.67147,75.0354017,61.76000061,Exceeding
Taraori,Haryana,"Taraori, Haryana",29.79996,76.9334186,78.38000031,Exceeding
Tarbha,Odisha,"Tarbha, Odisha",20.7317,83.6734049,51.14000015,Exceeding
Tarn Taran,Punjab,"Tarn Taran, Punjab",31.45387,74.9267599,83.75999756,Exceeding
Tenu damcumKathhara,Jharkhand,"Tenu damcumKathhara, Jharkhand",23.76168,85.8639766,69.03999863,Exceeding
Thakurdwara,Uttar Pradesh,"Thakurdwara, Uttar Pradesh",29.19115,78.8607099,50.95999985,Exceeding
Thana Bhawan,Uttar Pradesh,"Thana Bhawan, Uttar Pradesh",29.58748,77.4167876,75.03999939,Exceeding
Thanesar,Haryana,"Thanesar, Haryana",29.96988,76.8192941,74.86000214,Exceeding
Thangadh,Gujarat,"Thangadh, Gujarat",22.57615,71.2009861,40.80000076,Exceeding
Tharad,Gujarat,"Tharad, Gujarat",24.39669,71.6271514,53.08000031,Exceeding
Tikamgarh,Madhya Pradesh,"Tikamgarh, Madhya Pradesh",24.74561,78.8320779,56.27999954,Exceeding
Tilda Newra,Chhattisgarh,"Tilda Newra, Chhattisgarh",21.55139,81.800389,77.62000122,Exceeding
Tilhar,Uttar Pradesh,"Tilhar, Uttar Pradesh",27.96188,79.7370938,95.93999939,Exceeding
Tirora,Maharashtra,"Tirora, Maharashtra",21.40683,79.9309055,53.16000061,Exceeding
Tirwaganj,Uttar Pradesh,"Tirwaganj, Uttar Pradesh",26.95943,79.7890462,103.3599991,Exceeding
Titlagarh,Odisha,"Titlagarh, Odisha",20.28709,83.1466077,49.01999969,Exceeding
Todabhim,Rajasthan,"Todabhim, Rajasthan",26.91669,76.8158718,79.40000153,Exceeding
Todaraisingh,Rajasthan,"Todaraisingh, Rajasthan",26.0245,75.4838259,67.57999878,Exceeding
Tohana,Haryana,"Tohana, Haryana",29.71631,75.9056753,84.43999939,Exceeding
Tulsipur,Uttar Pradesh,"Tulsipur, Uttar Pradesh",27.52463,82.4156829,73.18000031,Exceeding
Tumsar,Maharashtra,"Tumsar, Maharashtra",21.38084,79.7455956,54.44000015,Exceeding
Tundla,Uttar Pradesh,"Tundla, Uttar Pradesh",27.22638,78.2425418,107.1600006,Exceeding
Udaipur,Tripura,"Udaipur, Tripura",23.53602,91.4869856,70.26000137,Exceeding
Udaipurwati,Rajasthan,"Udaipurwati, Rajasthan",27.73037,75.4752537,57.31999969,Exceeding
Ujhani,Uttar Pradesh,"Ujhani, Uttar Pradesh",28.00032,79.0051685,94.4,Exceeding
Uluberia,West Bengal,"Uluberia, West Bengal",22.47635,88.0897934,59.38000031,Exceeding
Umaria,Madhya Pradesh,"Umaria, Madhya Pradesh",23.60137,81.0754657,46.13999939,Exceeding
Umarkhed,Maharashtra,"Umarkhed, Maharashtra",19.59759,77.6916128,46.20000076,Exceeding
Umred,Maharashtra,"Umred, Maharashtra",20.84207,79.3261084,49.7,Exceeding
Umreth,Gujarat,"Umreth, Gujarat",22.69872,73.1143067,48.42000046,Exceeding
Unjha,Gujarat,"Unjha, Gujarat",23.8035,72.3902277,58.3,Exceeding
Unnao,Uttar Pradesh,"Unnao, Uttar Pradesh",26.53934,80.4878195,111.1600006,Exceeding
Uran,Maharashtra,"Uran, Maharashtra",18.87723,72.9283391,48.83999939,Exceeding
Urmar Tanda,Punjab,"Urmar Tanda, Punjab",31.6753,75.6339512,61.00000076,Exceeding
Utraula,Uttar Pradesh,"Utraula, Uttar Pradesh",27.31752,82.4183927,83.42000122,Exceeding
Vadnagar,Gujarat,"Vadnagar, Gujarat",23.77573,72.6165643,53.2,Exceeding
Vaijapur,Maharashtra,"Vaijapur, Maharashtra",19.92568,74.7284812,43.11999969,Exceeding
"Vijainagar, Ajmer",Rajasthan,"Vijainagar, Ajmer, Rajasthan",25.92676,74.6506322,55.28000107,Exceeding
Vijapur,Gujarat,"Vijapur, Gujarat",23.56094,72.7510921,56.37999954,Exceeding
Vijaypur,Madhya Pradesh,"Vijaypur, Madhya Pradesh",26.05383,77.3690496,65.14000015,Exceeding
Vikasnagar,Uttarakhand,"Vikasnagar, Uttarakhand",30.47503,77.7652346,48.1,Exceeding
Viramgam,Gujarat,"Viramgam, Gujarat",23.12496,72.0535829,55.7,Exceeding
Visnagar,Gujarat,"Visnagar, Gujarat",23.70238,72.5425606,57.8,Exceeding
Vrindavan,Uttar Pradesh,"Vrindavan, Uttar Pradesh",27.56501,77.6593394,109.9,Exceeding
Wadgaon Road,Maharashtra,"Wadgaon Road, Maharashtra",20.37178,78.1079763,43.83999939,Exceeding
Wadhwan,Gujarat,"Wadhwan, Gujarat",22.71145,71.6732681,45.13999939,Exceeding
Wani,Maharashtra,"Wani, Maharashtra",20.06084,78.9571069,44.6,Exceeding
Wankaner,Gujarat,"Wankaner, Gujarat",22.62363,70.9616056,49.47999954,Exceeding
Wara Seoni,Madhya Pradesh,"Wara Seoni, Madhya Pradesh",21.7654,80.0590804,51.94000015,Exceeding
Warhapur,Uttar Pradesh,"Warhapur, Uttar Pradesh",29.52789,78.5632461,47.55999985,Exceeding
Warisaliganj,Bihar,"Warisaliganj, Bihar",25.01252,85.6383484,73.72000122,Exceeding
Warora,Maharashtra,"Warora, Maharashtra",20.2506,79.0163018,46.26000061,Exceeding
Warud,Maharashtra,"Warud, Maharashtra",21.47121,78.2647004,48.38000031,Exceeding
Washim,Maharashtra,"Washim, Maharashtra",20.11191,77.1312586,43.33999939,Exceeding
Yamunanagar,Haryana,"Yamunanagar, Haryana",30.12905,77.2673901,69.81999969,Exceeding
Yawal,Maharashtra,"Yawal, Maharashtra",21.16809,75.6991717,54.95999908,Exceeding
Zaidpur,Uttar Pradesh,"Zaidpur, Uttar Pradesh",26.83393,81.331402,110.2,Exceeding
Zamania,Uttar Pradesh,"Zamania, Uttar Pradesh",25.42413,83.5576478,94.7,Exceeding
Zira,Punjab,"Zira, Punjab",30.96853,74.9880895,82.65999908,Exceeding
Zirakpur,Punjab,"Zirakpur, Punjab",30.64255,76.8173359,52.88000107,Exceeding
